	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	kegg_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_hits	vogdb_description	vogdb_categories	heme_regulatory_motif_count	vogdb_hits	virsorter_category	auxiliary_score	is_transposon	amg_flags
VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2_8	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	8	7267	7683	1	D			YP_009212349.1	YP_009212349.1 baseplate wedge subunit [Sinorhizobium phage phiN3]	False	0.53	126.0	4.2889999999999996e-33								Gene 25-like lysozyme [PF04965.15]		sp|P09425|BP25_BPT4 Baseplate wedge protein gp25; XhXs	Xh;Xs	0		1	3	False	V
VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2_9	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	9	7684	9480	1	E			YP_009212348.1	YP_009212348.1 baseplate wedge [Sinorhizobium phage phiN3]	True	0.395	399.0	2.5279999999999986e-119										sp|P19060|BP06_BPT4 Baseplate wedge protein gp6; Xs	Xs	0		1	3	False	V
VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2_10	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	10	9482	11815	1	E			YP_009098968.1	YP_009098968.1 structural protein [Caulobacter phage Cr30]	False	0.237	217.0	1.571e-56										REFSEQ baseplate wedge subunit; Xu	Xu	0		2	3	False	
VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2_11	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	11	11863	13032	1	D			YP_009324355.1	YP_009324355.1 hypothetical protein P29B0810_192 [Synechococcus phage S-WAM2]	False	0.298	115.0	4.138e-26								Bacteriophage T4 gp9/10-like protein [PF07880.12]		REFSEQ hypothetical protein; Xu	Xu	0		1	3	False	
VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2_12	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	12	13036	14718	1	D			YP_009324356.1	YP_009324356.1 subtilisin-like serine protease [Synechococcus phage S-WAM2]	False	0.306	259.0	3.4889999999999993e-72	MER0191877	S08A	MER0191877 - subfamily S8A unassigned peptidases () [S08.UPA]#S08A#{peptidase unit: 133-489}~source YP_003097273~	False	0.329	189.0	1.2699999999999997e-48	Subtilase family [PF00082.23]		sp|P10928|BP10_BPT4 Baseplate wedge protein gp10; XhXs	Xh;Xs	0		1	3	False	VP
VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2_13	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	13	14758	16407	1	E			YP_009601216.1	YP_009601216.1 baseplate wedge subunit [Sinorhizobium phage phiM7]	False	0.239	146.0	5.96e-35										REFSEQ baseplate wedge; Xu	Xu	0		1	3	False	
VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2_14	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	14	16422	21794	1	D			YP_009212345.1	YP_009212345.1 VrlC protein [Sinorhizobium phage phiN3]	True	0.341	980.0	1.4629999999999985e-300								Domain of unknown function (DUF4815) [PF16075.6]		REFSEQ hypothetical protein; Xu	Xu	0		1	3	False	
VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2_15	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	15	21791	21979	1	E																				0		-	3	False	
VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2_16	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	16	21981	23390	1	E																				0		-	3	False	
VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2_17	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	17	23405	23899	1	E																				0		-	3	False	
VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2_18	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	18	23896	24429	1	E																				0		-	3	False	
VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2_19	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	19	24438	24773	1	E																		REFSEQ hypothetical protein; Xu	Xu	0		1	3	False	
VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2_20	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	20	24848	35941	1	C	K20276,K20276,K21449,K21449	large repetitive protein; large repetitive protein; trimeric autotransporter adhesin; trimeric autotransporter adhesin	YP_004324921.1	YP_004324921.1 structural protein [Prochlorococcus phage P-SSM7]	False	0.198	274.0	1.2399999999999993e-71												0		1	3	False	
VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2_21	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	21	35941	36363	1	E																				0		-	3	False	
VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2_22	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	22	36363	41564	1	D			YP_009598846.1	YP_009598846.1 putative tail fiber protein [Ralstonia phage RP12]	False	0.192	115.0	2.736e-24								Chaperone of endosialidase [PF13884.7]		sp|Q5UQ13|COLL2_MIMIV Collagen-like protein 2; XhXs	Xh;Xs	0		1	3	False	VF
VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2_23	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	23	41680	42009	1	E			YP_007517927.1	YP_007517927.1 hypothetical protein [Pelagibacter phage HTVC008M]	False	0.344	62.0	2.858e-11										sp|Q7Y5D9|FIBL2_BPT5 L-shaped tail fiber protein p132; XhXs	Xh;Xs	0		1	3	False	VF
VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2_24	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	24	42013	45969	1	E			YP_195120.1	YP_195120.1 virion structural protein [Synechococcus phage S-PM2]	False	0.21	113.0	1.283e-23										REFSEQ hypothetical protein; Xu	Xu	0		1	4	False	F
VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2_25	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	VIRSorter_NODE_103_length_46157_cov_27_204026-cat_2	25	46031	46156	1	E																				0			5	False	F
VIRSorter_NODE_1051_length_9428_cov_2_484903-cat_2_1	VIRSorter_NODE_1051_length_9428_cov_2_484903-cat_2	VIRSorter_NODE_1051_length_9428_cov_2_484903-cat_2	1	1	294	-1	E																				0		2	5	False	F
VIRSorter_NODE_1051_length_9428_cov_2_484903-cat_2_2	VIRSorter_NODE_1051_length_9428_cov_2_484903-cat_2	VIRSorter_NODE_1051_length_9428_cov_2_484903-cat_2	2	287	499	-1	E																				0		1	4	False	F
VIRSorter_NODE_1051_length_9428_cov_2_484903-cat_2_3	VIRSorter_NODE_1051_length_9428_cov_2_484903-cat_2	VIRSorter_NODE_1051_length_9428_cov_2_484903-cat_2	3	441	779	-1	E			YP_009810867.1	YP_009810867.1 phosphoheptose isomerase 1 [Synechococcus phage S-T4]	False	0.47	94.0	3.388e-22												0		1	3	False	F
VIRSorter_NODE_1051_length_9428_cov_2_484903-cat_2_4	VIRSorter_NODE_1051_length_9428_cov_2_484903-cat_2	VIRSorter_NODE_1051_length_9428_cov_2_484903-cat_2	4	837	1280	-1	D			YP_009612375.1	YP_009612375.1 16 kDa heat shock protein A [Agrobacterium phage Atu_ph07]	False	0.472	104.0	2.8899999999999996e-25								Hsp20/alpha crystallin family [PF00011.22]		sp|P70918|HSPB_BRADU Small heat shock protein HspB; Xh	Xh	0		1	3	False	F
VIRSorter_NODE_1051_length_9428_cov_2_484903-cat_2_5	VIRSorter_NODE_1051_length_9428_cov_2_484903-cat_2	VIRSorter_NODE_1051_length_9428_cov_2_484903-cat_2	5	1372	1683	-1	E																				0		2	3	False	F
VIRSorter_NODE_1051_length_9428_cov_2_484903-cat_2_6	VIRSorter_NODE_1051_length_9428_cov_2_484903-cat_2	VIRSorter_NODE_1051_length_9428_cov_2_484903-cat_2	6	1693	2202	-1	C	K01520	dUTP pyrophosphatase [EC:3.6.1.23]	YP_009609713.1	YP_009609713.1 deoxyuridine 5'-triphosphate nucleotidohydrolase [Acidovorax phage ACP17]	False	0.429	128.0	3.212999999999999e-33								dUTPase [PF00692.20]				0		1	3	False	MF
VIRSorter_NODE_1051_length_9428_cov_2_484903-cat_2_7	VIRSorter_NODE_1051_length_9428_cov_2_484903-cat_2	VIRSorter_NODE_1051_length_9428_cov_2_484903-cat_2	7	2205	2612	-1	D			YP_007673075.1	YP_007673075.1 RegA [Synechococcus phage S-CAM1]	False	0.67	166.0	5.332999999999998e-47								Bacteriophage translational regulator [PF01818.18]				0		1	3	False	F
VIRSorter_NODE_1051_length_9428_cov_2_484903-cat_2_8	VIRSorter_NODE_1051_length_9428_cov_2_484903-cat_2	VIRSorter_NODE_1051_length_9428_cov_2_484903-cat_2	8	2700	3104	-1	D			YP_007877709.1	YP_007877709.1 hypothetical protein CPPG_00158 [Cyanophage P-RSM1]	False	0.414	94.0	6.187e-22								Bacteriophage clamp loader A subunit [PF16790.6]		sp|P04527|DPA62_BPT4 Sliding-clamp-loader gp44 subunit; Xr	Xr	0		1	3	False	VF
VIRSorter_NODE_1051_length_9428_cov_2_484903-cat_2_9	VIRSorter_NODE_1051_length_9428_cov_2_484903-cat_2	VIRSorter_NODE_1051_length_9428_cov_2_484903-cat_2	9	3079	3288	-1	E																				0		-	3	False	F
VIRSorter_NODE_1051_length_9428_cov_2_484903-cat_2_10	VIRSorter_NODE_1051_length_9428_cov_2_484903-cat_2	VIRSorter_NODE_1051_length_9428_cov_2_484903-cat_2	10	3285	4238	-1	C	K18944	sliding clamp loader	YP_007677298.1	YP_007677298.1 sliding clamp loader [Synechococcus phage S-SSM4]	False	0.539	321.0	3.430999999999999e-97								DNA polymerase III, delta subunit [PF13177.7]; ATPase family associated with various cellular activities (AAA) [PF00004.30]; Holliday junction DNA helicase RuvB P-loop domain [PF05496.13]; Rad17 P-loop domain [PF03215.16]; AAA domain (dynein-related subfamily) [PF07728.15]		sp|P04526|DPA44_BPT4 Sliding-clamp-loader gp44 subunit; XhXr	Xr;Xh	0		1	3	False	VF
VIRSorter_NODE_1051_length_9428_cov_2_484903-cat_2_11	VIRSorter_NODE_1051_length_9428_cov_2_484903-cat_2	VIRSorter_NODE_1051_length_9428_cov_2_484903-cat_2	11	4301	4564	-1	E																				0		2	3	False	F
